Ref#,Prefix,Property Name,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,State,City ,County,Street & Number,External Link,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
83003521,,MONTGOMERY (snagboat),Listed,Single,FALSE,0.9, COMMERCE; ENGINEERING; TRANSPORTATION; MARITIME HISTORY,STRUCTURE,ALABAMA,Pickensville,Pickens,Tom Bevill Visitor Center,https://catalog.archives.gov/id/77835685,11/28/1983,06/30/1989, U.S. Snagboat MONTGOMERY,,83003521
73000368,,Montgomery Union Station and Trainshed,Listed,Single,FALSE,3, COMMERCE; ENGINEERING; TRANSPORTATION; ARCHITECTURE,STRUCTURE,ALABAMA,Montgomery,Montgomery,Water St.,https://catalog.archives.gov/id/77837145,07/24/1973,12/08/1976, Louisville &amp; Nashville Railroad:Montgomery Union Station and,,73000368
66000149,,Moundville,Listed,Single,FALSE,300, PREHISTORIC,SITE,ALABAMA,Moundville,Hale,1 mi. (1.6 km) W of Moundville on SR 21,https://catalog.archives.gov/id/77835643,10/15/1966,07/19/1964, Mound State Monument,,66000149
85002807,,Neutral Buoyancy Space Simulator,Listed,Single,FALSE,0.9, OTHER; ENGINEERING,STRUCTURE,ALABAMA,Huntsville,Madison,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77835661,10/03/1985,10/03/1985,,,85002807
100006236,NL,Old Monroe County Courthouse,Listed,NHL,FALSE,1, LITERATURE; POLITICS/GOVERNMENT; ARCHITECTURE,building,ALABAMA,Monroeville,Monroe,Courthouse Sq.,,,01/13/2021,,,73000366
85002804,,Propulsion and Structural Test Facility,Listed,Single,FALSE,0.9, OTHER; MILITARY; ENGINEERING,STRUCTURE,ALABAMA,Huntsville,Madison,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77835659,10/03/1985,10/03/1985, Solid Motor Structural Test Facility,,85002804
76000341,,Redstone Test Stand,Listed,Single,FALSE,2, MILITARY; ENGINEERING; EXPLORATION/SETTLEMENT; SCIENCE,STRUCTURE,ALABAMA,Huntsville,Madison,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77836794,05/13/1976,10/03/1985, Interim Test Stand,,76000341
85002806,,Saturn V Dynamic Test Stand,Listed,Single,FALSE,0.9, OTHER; ENGINEERING; TRANSPORTATION,STRUCTURE,ALABAMA,Huntsville,Madison,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77835663,10/03/1985,10/03/1985, Dynamic Structural Test Facility,,85002806
78000500,,Saturn V Space Vehicle,Listed,Single,FALSE,0.9, ENGINEERING; TRANSPORTATION; EXPLORATION/SETTLEMENT,STRUCTURE,ALABAMA,Huntsville,Madison,Tranquility Base,https://catalog.archives.gov/id/77836796,11/22/1978,02/10/1987,,,78000500
80000696,,Sixteenth Street Baptist Church,Listed,Single,FALSE,0.9, BLACK; ARCHITECTURE; SOCIAL HISTORY,BUILDING,ALABAMA,Birmingham,Jefferson,1530 6th Ave. North at 16th St.,https://catalog.archives.gov/id/77836436,09/17/1980,02/20/2006,,,80000696
72000162,,Sloss Blast Furnace Site,Listed,Single,FALSE,16.5, INDUSTRY; ENGINEERING,DISTRICT,ALABAMA,Birmingham,Jefferson,1st Ave. at 32nd St.,https://catalog.archives.gov/id/77836492,06/22/1972,05/29/1981, Sloss Blast Furnaces,,72000162
73000347,,St. Andrew's Church,Listed,Single,FALSE,3, ARCHITECTURE,BUILDING,ALABAMA,Prairieville,Hale,U.S. 80,https://catalog.archives.gov/id/77835645,11/07/1973,11/07/1973,,,73000347
74002223,,Swayne Hall,Listed,Single,FALSE,0, BLACK; EDUCATION,BUILDING,ALABAMA,Talladega,Talladega,Talladega College campus,https://catalog.archives.gov/id/77835690,12/02/1974,12/02/1974,,,74002223
66000151,,Tuskegee Institute National Historic Site,Listed,Single,FALSE,74.4, BLACK; EDUCATION,DISTRICT,ALABAMA,Tuskegee,Macon,1 mi. NW of Tuskegee on U.S. 80,https://catalog.archives.gov/id/77835653,10/15/1966,06/23/1965,,Tuskegee Institute,66000151
98000611,,United States Post Office and Courthouse-Montgomery,Listed,Single,FALSE,1.5, ARCHITECTURE; SOCIAL HISTORY; POLITICS/GOVERNMENT; BLACK,BUILDING,ALABAMA,Montgomery,Montgomery,15 Lee St.,https://catalog.archives.gov/id/77837169,06/03/1998,07/21/2015," Frank M. Johnson, Jr. Federal Building",,98000611
86000083,,USS ALABAMA (battleship),Listed,Single,FALSE,0.9, MILITARY,STRUCTURE,ALABAMA,Mobile,Mobile,Battleship Pkwy.,https://catalog.archives.gov/id/77835675,01/14/1986,01/14/1986, BB-60,,86000083
86000086,,USS DRUM (submarine),Listed,Single,FALSE,0.9, MILITARY,STRUCTURE,ALABAMA,Mobile,Mobile,Battleship Pkwy.,https://catalog.archives.gov/id/77835673,01/14/1986,01/14/1986, SS-228,,86000086
66000147,,Wilson Dam,Listed,Single,FALSE,20, INDUSTRY; COMMERCE; TRANSPORTATION,STRUCTURE,ALABAMA,Florence,Colbert,Tennessee River on AL 133,https://catalog.archives.gov/id/77835635,11/13/1966,11/13/1966,,,66000147
73000371,,"Yancey, William Lowndes, Law Office",Listed,Single,FALSE,0.9, POLITICS/GOVERNMENT,BUILDING,ALABAMA,Montgomery,Montgomery,Adams and Perry Sts.,,11/07/1973,11/07/1973,,,73000371
95000453,,Yuchi Town,Listed,Single,TRUE,280, NATIVE AMERICAN; PREHISTORIC,SITE,ALABAMA,Fort Benning,Russell,Address Restricted,,06/19/1996,06/19/1996, 1RU63;1RU57,,95000453
87000841,,Adak Army Base and Adak Naval Operating Station,Listed,Single,FALSE,46700, MILITARY,DISTRICT,ALASKA,Adak Station,Aleutian Islands,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay",https://catalog.archives.gov/id/75325287,02/27/1987,02/27/1987, Adak Naval Station (Naval Air Station Adak),,87000841
72000192,,Alaska Native Brotherhood Hall,Listed,Single,FALSE,0.3, NATIVE AMERICAN,BUILDING,ALASKA,Sitka,Sitka,Katlean St.,https://catalog.archives.gov/id/75325744,02/23/1972,06/02/1978, Sitka Camp No. 1,,72000192
05000460,,Amalik Bay Archeological District,Listed,Single,TRUE,,,DISTRICT,ALASKA,King Salmon,Dillingham,Address Restricted,,04/05/2005,04/05/2005,,,05000460
66000162,,American Flag Raising Site,Listed,Single,FALSE,3.6, EXPLORATION/SETTLEMENT; POLITICS/GOVERNMENT,SITE,ALASKA,Sitka,Sitka,Castle Hill,https://catalog.archives.gov/id/75325329,10/15/1966,06/13/1962, Baranov Castle;Castle Hill;AHRS Site Sit 002,,66000162
78000512,,Anangula Archeological District,Listed,Single,TRUE,47, PREHISTORIC,SITE,ALASKA,Nikolski,Aleutian Islands,Address Restricted,,06/02/1978,06/16/1978, AHRS-SAM-012,,78000512
66000159,,Anvil Creek Gold Discovery Site,Listed,Single,FALSE,2, EXPLORATION/SETTLEMENT,SITE,ALASKA,Nome,Nome,4.25 mi. N of Nome on Seward Peninsula at Anvil Creek,,10/15/1966,12/21/1965,,,66000159
85002729,,Attu Battlefield and U.S. Army and Navy Airfields on Attu,Listed,Single,FALSE,7000, MILITARY,SITE,ALASKA,Aleutian Islands,Aleutian Islands,Attu Island,https://catalog.archives.gov/id/75325281,02/04/1985,02/04/1985,,,85002729
77001542,,Bering Expedition Landing Site,Listed,Single,FALSE,1, EXPLORATION/SETTLEMENT,SITE,ALASKA,Katalla,Valdez-Cordova,S of Katalla on Kayak Island,https://catalog.archives.gov/id/75325828,07/20/1977,06/02/1978, AHRS SITE NO. XMI 005,,77001542
66000953,,Birnirk Site,Listed,Single,TRUE,1, PREHISTORIC,SITE,ALASKA,Barrow,North Slope,Address Restricted,,10/15/1966,12/29/1962,,,66000953
78000342,,Brooks River Archeological District,Listed,Single,TRUE,583, HISTORIC - ABORIGINAL; PREHISTORIC,DISTRICT,ALASKA,Naknek,Bristol Bay,Address Restricted,https://catalog.archives.gov/id/75325290,02/14/1978,04/19/1993, 49 MK1;XMK-051;Kittewick,Katmai,78000342
87001301,,Cape Field at Fort Glenn (Umnak Island),Listed,Single,FALSE,7550, MILITARY,DISTRICT,ALASKA,Fort Glenn,Aleutian Islands,NE section of Umnak Island,https://catalog.archives.gov/id/75325277,05/28/1987,05/28/1987, Umnak Airport,,87001301
73000378,,Cape Krusenstern Archeological District National Monument,Listed,Single,TRUE,2000000, PREHISTORIC; HISTORIC - ABORIGINAL,SITE,ALASKA,Kotzebue,Northwest Arctic,Address Restricted,,11/07/1973,11/07/1973, Cape Krusenstern;Sealing Point,Cape Krusenstern,73000378
78000535,,Cape Nome Mining District Discovery Sites,Listed,Single,FALSE,67.9, INDUSTRY,DISTRICT,ALASKA,Nome,Nome,Address unknown,https://catalog.archives.gov/id/75325312,06/02/1978,06/02/1978," AHRS Site Nos. NOM 021,038,039;See Also:Anvil Creek Gold Dis",,78000535
66000155,,Chaluka Site,Listed,Single,TRUE,10, PREHISTORIC,SITE,ALASKA,Nikolski,Aleutian Islands,Address Restricted,,10/15/1966,12/29/1962,,,66000155
75002120,,Chilkoot Trail,Listed,Single,FALSE,638, TRANSPORTATION,DISTRICT,ALASKA,Skagway,Skagway-Yakutat-Angoon,Mile 0 to U.S./Canada Border,https://catalog.archives.gov/id/75325780,04/14/1975,06/16/1978, AHRS SKG-067,Klondike Gold Rush,75002120
70000898,MP,Church of the Assumption of the Virgin Mary,Listed,Multiple,FALSE,13.5, EDUCATION; LAW; ARCHITECTURE; RELIGION; SOCIAL HISTORY,BUILDING,ALASKA,Kenai,Kenai Peninsula,Mission and Overland Sts.,https://catalog.archives.gov/id/75325303,05/10/1970,05/10/1970, Holy Assumption Orthodox Church,,70000898
70000112,MP,Church of the Holy Ascension,Listed,Multiple,FALSE,1.5, ART; EDUCATION; ARCHITECTURE; RELIGION; SOCIAL HISTORY,BUILDING,ALASKA,Unalaska,Aleutian Islands,In Unalaska,https://catalog.archives.gov/id/75325275,04/15/1970,04/15/1970, Holy Ascension Orthodox Church,,70000112
74000442,,Dry Creek Archeological Site,Listed,Single,TRUE,9.3, PREHISTORIC,SITE,ALASKA,Lignite,Yukon-Koyukuk,Address Restricted,,09/06/1974,06/16/1978,,,74000442
85002733,,"Dutch Harbor Naval Operating Base and Fort Mears, U.S. Army",Listed,Single,FALSE,1000, MILITARY,DISTRICT,ALASKA,Unalaska,Aleutian Islands,Amaknak Island,https://catalog.archives.gov/id/75325285,02/04/1985,02/04/1985,,,85002733
70000919,,Eagle Historic District,Listed,Single,FALSE,360, COMMUNICATIONS,DISTRICT,ALASKA,Eagle,Southeast Fairbanks,"Mile 0, Taylor Hwy.",https://catalog.archives.gov/id/75325795,10/27/1970,06/02/1978," Eagle,City of;Egbert,Harry C.,Fort Site",,70000919
78000529,,Fort Durham Site,Listed,Single,TRUE,45, COMMERCE; HISTORIC - NON-ABORIGINAL,SITE,ALASKA,Taku Harbor,Juneau,Address Restricted,,05/05/1978,06/16/1978, AHRS Site JUN 036;Fort Taku,,78000529
72000190,,Fort William H. Seward,Listed,Single,FALSE,200, MILITARY,DISTRICT,ALASKA,Haines,Haines,S of Haines at Port Chilkoot,https://catalog.archives.gov/id/75325504,04/11/1972,06/16/1978, Chilkoot Barracks;AHRS Site No. SKG-001,,72000190
100011363,NL,Fort William H. Seward,Listed,NHL,FALSE,37, MILITARY,district,ALASKA,Haines,Haines,S of Haines at Port Chilkoot,,,12/13/2024,,,72000190
78003208,,Gallagher Flint Station Archeological Site,Listed,Single,TRUE,10, PREHISTORIC,SITE,ALASKA,Sagwon,North Slope,Address Restricted,,06/02/1978,06/02/1978,,,78003208
66000157,,Ipiutak Site,Listed,Single,TRUE,400, PREHISTORIC,SITE,ALASKA,Point Hope Peninsula,North Slope,Address Restricted,,10/15/1966,05/10/1970,,,66000157
66000158,,Iyatayet Site,Listed,Single,TRUE,5, PREHISTORIC,SITE,ALASKA,Cape Denbigh Peninsula,Nome,Address Restricted,,10/15/1966,01/20/1961, Cape Denbigh Flint Site,,66000158
85002732,,"Japanese Occupation Site, Kiska Island",Listed,Single,FALSE,48900, MILITARY,SITE,ALASKA,Aleutian Islands,Aleutian Islands,Kiska Island,https://catalog.archives.gov/id/75325283,02/04/1985,02/04/1985,,,85002732
97001677,,Kake Cannery,Listed,Single,FALSE,12, MARITIME HISTORY; INDUSTRY; SOCIAL HISTORY,DISTRICT,ALASKA,Kake,Wrangell-Peterburg,1.5 mi. south of Kake,https://catalog.archives.gov/id/75325350,12/09/1997,12/09/1997," Sanborn Cutting Co., Sunny Point Packing Co., Alaska Pacific",,97001677
78003420,,Kennecott Mines,Listed,Single,FALSE,7700, INDUSTRY; ENGINEERING,DISTRICT,ALASKA,Kennecott,Valdez-Cordova,SE of Kennecott Glacier on N bank of National Creek,https://catalog.archives.gov/id/75325832,07/12/1978,06/23/1986, AHRS Site No. XMC-001;Kennecott,,78003420
94001644,,Kijik Archeological District,Listed,Single,TRUE,1920, HISTORIC - ABORIGINAL; PREHISTORIC,DISTRICT,ALASKA,Nondalton,Bristol Bay,Address Restricted,,10/12/1994,10/12/1994, Qizhjeh;XLC-001;see also:Kijik Historic District,Lake Clark,94001644
85002731,,Kodiak Naval Operating Base and Forts Greely and Abercrombie,Listed,Single,FALSE,350, MILITARY,SITE,ALASKA,Kodiak,Kodiak Island,Address unknown,https://catalog.archives.gov/id/75325308,02/04/1985,02/04/1985, US Coast Guard Support Center and Fort Abercrombie State His,,85002731
85002730,,Ladd Field,Listed,Single,FALSE,1010, MILITARY,DISTRICT,ALASKA,Fairbanks,Fairbanks North Star,Address Unknown,https://catalog.archives.gov/id/75325295,02/04/1985,02/04/1985, Fort Wainwright,,85002730
85002730,ADNL,Ladd Field,Done,NHL Updated Documentation,FALSE,528, MILITARY,district,ALASKA,Fairbanks,Fairbanks North Star,Address Unknown,,,09/02/2024,,,85002730
71001093,,Leffingwell Camp Site,Listed,Single,FALSE,10, SCIENCE,SITE,ALASKA,Flaxman Island,North Slope,58 mi. W of Barter Island on Arctic Coast,https://catalog.archives.gov/id/75325730,06/21/1971,06/16/1978,,,71001093
72001581,,NENANA (steamer),Listed,Single,FALSE,0.9, TRANSPORTATION; ARCHITECTURE; MARITIME HISTORY,STRUCTURE,ALASKA,Fairbanks,Fairbanks North Star,Alaskaland,https://catalog.archives.gov/id/75325492,06/27/1972,05/05/1989,,,72001581
72001593,,New Russia Site,Listed,Single,FALSE,1, EXPLORATION/SETTLEMENT,SITE,ALASKA,Yakutat,Skagway-Yakutat-Angoon,SW of Yakutat on Phipps Peninsula,https://catalog.archives.gov/id/75325774,02/23/1972,06/16/1978,,,72001593
66000166,,Old Sitka Site,Listed,Single,FALSE,5, EXPLORATION/SETTLEMENT,SITE,ALASKA,Sitka,Sitka,6 mi. N (9.6 km) of Sitka on Starrigavan Bay,https://catalog.archives.gov/id/75325327,10/15/1966,06/13/1962, Redoubt St. Archangel Michael Site;AHRS SITE SIT 006,,66000166
72000191,,Onion Portage Archeological District,Listed,Single,TRUE,15360, PREHISTORIC,DISTRICT,ALASKA,Kiana,Northwest Arctic,Address Restricted,,06/20/1972,06/16/1978,,Kobuk Valley,72000191
66000957,,Palugvik Archeological District,Listed,Single,TRUE,180, PREHISTORIC,SITE,ALASKA,Cordova,Valdez-Cordova,Address Restricted,,10/15/1966,12/29/1962,,,66000957
66000025,MP,Russian Bishop's House,Listed,Multiple,FALSE,0.5, ENGINEERING; EDUCATION; EXPLORATION/SETTLEMENT; ARCHITECTURE; RELIGION,BUILDING,ALASKA,Sitka,Sitka,Lincoln and Monastery Sts.,https://catalog.archives.gov/id/75325151,10/15/1966,06/13/1962, Russian Mission Orphanage,Sitka,66000025
87001282,,Russian-American Building No. 29,Listed,Single,FALSE,0.5, EXPLORATION/SETTLEMENT; POLITICS/GOVERNMENT,BUILDING,ALASKA,Sitka,Sitka,202--204 Lincoln St.,https://catalog.archives.gov/id/75325331,05/28/1987,05/28/1987," Tilson Building;Building No. 29, Sitka",,87001282
66000954,,Russian-American Company Magazin,Listed,Single,FALSE,0.5, ARCHITECTURE,BUILDING,ALASKA,Kodiak,Kodiak Island,Main St. and Mission Rd.,https://catalog.archives.gov/id/75325305,10/15/1966,06/13/1962, Erskine House,,66000954
66000156,,Seal Island Historic District,Listed,Single,FALSE,6970, INDUSTRY; NATIVE AMERICAN; CONSERVATION,DISTRICT,ALASKA,Pribilof Islands,Aleutian Islands,St. Paul and St. George Islands,https://catalog.archives.gov/id/75325279,10/15/1966,06/13/1962, The Seal Islands;Pribilof Islands;See Also:80000744;80000743; Fur Seal Rookeries,,66000156
72000193,,Sheldon Jackson School,Listed,Single,FALSE,1, EDUCATION,BUILDING,ALASKA,Sitka,Sitka,Lincoln St.,https://catalog.archives.gov/id/75325764,02/23/1972,08/07/2001,,,72000193
86003559,,Sitka Naval Operating Base and US Army Coastal Defenses,Listed,Single,FALSE,510, MILITARY,DISTRICT,ALASKA,Sitka,Sitka,Japonski Island,https://catalog.archives.gov/id/75325333,08/11/1986,08/11/1986, Sitka;the Causeway;Mt. Edgecumbe School,,86003559
86003559,ADNL,Sitka Naval Operating Base and US Army Coastal Defenses,Done,NHL Updated Documentation,FALSE,150, MILITARY,district,ALASKA,Sitka,Sitka,Japonski Island,,,09/02/2024,,,86003559
78000513,,Sitka Spruce Plantation,Listed,Single,FALSE,0.9, AGRICULTURE; EXPLORATION/SETTLEMENT,SITE,ALASKA,Unalaska,Aleutian Islands,N of Unalaska on Amaknak Island,https://catalog.archives.gov/id/75325355,02/14/1978,06/16/1978," AHRS UNL-074;""The Forest""",,78000513
66000943,,Skagway Historic District and White Pass,Listed,Single,FALSE,10, ARCHITECTURE,DISTRICT,ALASKA,Skagway and,Skagway-Yakutat-Angoon,Head of Taiya Inlet on Lynn Canal,https://catalog.archives.gov/id/75325339,10/15/1966,06/13/1962,,Klondike Gold Rush,66000943
74002264,,Sourdough Lodge,Removed,Single,FALSE,9.9, TRANSPORTATION,BUILDING,ALASKA,Gakona,Valdez-Cordova,AK 4 (Richardson Hwy.),,,06/16/1978, Hart's Road House;AHRS GUL-056,,74002264
66000165,MP,St. Michael's Cathedral,Listed,Multiple,FALSE,0.3, ARCHITECTURE; RELIGION,BUILDING,ALASKA,Sitka,Sitka,"Lincoln and Maksoutoff District,",https://catalog.archives.gov/id/75325153,10/15/1966,06/13/1962,,,66000165
72001542,,"Thomas, George C., Memorial Library",Listed,Single,FALSE,0.5, SOCIAL HISTORY,BUILDING,ALASKA,Fairbanks,Fairbanks North Star,901 1st Ave.,https://catalog.archives.gov/id/75325490,02/23/1972,06/02/1978, North Star Boro Library;AHRS FAI-004,,72001542
72001541,,Three Saints Site,Listed,Single,TRUE,70, PREHISTORIC; HISTORIC - NON-ABORIGINAL; EXPLORATION/SETTLEMENT,SITE,ALASKA,Old Harbor,Kodiak Island,Address Restricted,,02/23/1972,06/16/1978, AHRS SITE KOD 124,,72001541
66000161,,Wales Sites,Listed,Single,TRUE,100, PREHISTORIC,DISTRICT,ALASKA,Wales,Nome,Address Restricted,,10/15/1966,12/29/1962, Wales Complex,,66000161
100000875,NL,Walrus Islands Archeological District,Listed,NHL,TRUE,,,,ALASKA,Togiak,Dillingham,Address Restricted,,,12/23/2016,,,100000875
66000955,,Yukon Island Main Site,Listed,Single,TRUE,700, PREHISTORIC,SITE,ALASKA,Yukon Island,Kenai Peninsula,Address Restricted,,10/15/1966,12/29/1962,,,66000955
73002128,,Blunts Point Naval Gun,Listed,Single,FALSE,1, MILITARY,SITE,AMERICAN SAMOA,Pago Pago,Eastern,Matautu Ridge,https://catalog.archives.gov/id/131517728,04/26/1973,05/28/1987," Matautu Ridge Gun Site;See Also: Blunt's Point Battery, Amer",,73002128
72001443,,Government House,Listed,Single,FALSE,1.4, MILITARY; ARCHITECTURE; POLITICS/GOVERNMENT,BUILDING,AMERICAN SAMOA,Pago Pago,Eastern,Togotogo Ridge,https://catalog.archives.gov/id/131517735,03/16/1972,12/14/1990," Building No.1;Naval Station;Tutuila;Government House,U.S. Na",,72001443
14000280,,1956 Grand Canyon TWA-United Airlines Aviation Accident Site,Listed,Single,TRUE,,,SITE,ARIZONA,Grand Canyon National Park,Coconino,Address Restricted,,04/22/2014,04/22/2014,,,14000280
92001234,,Air Force Facility Missile Site 8 (571-7) Military Reservation,Listed,Single,FALSE,3.3, ENGINEERING; MILITARY; ARCHITECTURE,SITE,ARIZONA,Green Valley,Pima,1580 W. Duval Mine Rd.,https://catalog.archives.gov/id/75609550,12/03/1992,04/19/1994, Titan Missile Museum;Titan II ICBM Missile Site 571-7,,92001234
66000187,,Awatovi Ruins,Listed,Single,TRUE,770, PREHISTORIC; HISTORIC - ABORIGINAL; AGRICULTURE,SITE,ARIZONA,Keams Canyon,Navajo,Address Restricted,,10/15/1966,07/19/1964, Awatovi,,66000187
71000118,,Calabasas,Listed,Single,TRUE,22, HISTORIC - ABORIGINAL; HISPANIC; NATIVE AMERICAN; HISTORIC - NON-ABORIGINAL,SITE,ARIZONA,Nogales,Santa Cruz,Address Restricted,,06/03/1971,12/14/1990, San Cayetano de Calabasas;San Cayetano de Calabazas,,71000118
66000936,,Casa Malpais Site,Listed,Single,TRUE,14.3, PREHISTORIC,SITE,ARIZONA,Springerville,Apache,Address Restricted,,10/15/1966,07/19/1964, Arizona Q:15:3,,66000936
66000190,,Desert Laboratory,Listed,Single,FALSE,869.5, EDUCATION; SCIENCE,BUILDING,ARIZONA,Tucson,Pima,W of Tucson off W. Anklam Rd. on Tumamoc Hill,https://catalog.archives.gov/id/75609552,10/15/1966,12/21/1965, Tumamoc Hill,,66000190
66000169,,Double Adobe Site,Listed,Single,TRUE,2, PREHISTORIC,SITE,ARIZONA,Douglas,Cochise,Address Restricted,,10/15/1966,01/20/1961,,,66000169
74000334,,El Tovar Hotel,Listed,Single,FALSE,4.1, COMMERCE; ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,ARIZONA,Grand Canyon,Coconino,"Grand Canyon National Park, Rte. 8A",https://catalog.archives.gov/id/75609735,09/06/1974,05/28/1987, El Tovar,Grand Canyon,74000334
76000377,,Fort Apache Historic District,Listed,Single,FALSE,288, MILITARY,DISTRICT,ARIZONA,Whiteriver,Navajo,S of Whiteriver off AZ 73 on Fort Apache Indian Reservation,https://catalog.archives.gov/id/75610362,10/14/1976,03/02/2012,,,76000377
